1619, 13799, 671, 5.88,
1630, 13812, 674, 5.89,
1642, 13850, 673, 5.88,
1653, 13888, 663, 5.88,
1664, 13940, 656, 5.89,
1676, 13966, 651, 5.89,
1687, 14005, 654, 5.90,
1698, 14031, 653, 5.90,
1710, 14058, 648, 5.89,
1721, 14084, 643, 5.92,
1732, 14137, 639, 5.90,
1743, 14164, 639, 5.92,
1754, 14177, 641, 5.90,
1765, 14231, 636, 5.91,
1777, 14245, 623, 5.92,
1788, 14272, 624, 5.92,
1799, 14312, 630, 5.91,
1811, 14340, 626, 5.92,
1822, 14354, 620, 5.92,
1833, 14367, 614, 5.92,
1845, 14409, 611, 5.92,
1856, 14436, 601, 5.92,
1867, 14450, 598, 5.93,
1879, 14478, 599, 5.94,
1890, 14506, 594, 5.93,
1901, 14506, 590, 5.93,
1912, 14563, 589, 5.93,
1923, 14563, 590, 5.93,
1934, 14534, 580, 5.94,
1946, 14605, 596, 5.94,
1957, 14634, 594, 5.94,
1968, 14662, 580, 5.95,
1980, 14677, 580, 5.94,
1991, 14691, 580, 5.94,
2002, 14705, 570, 5.94,
2014, 14677, 574, 5.94,
2025, 14749, 568, 5.94,
2036, 14763, 564, 5.95,
2048, 14807, 563, 5.95,
2059, 14822, 555, 5.95,
2070, 14822, 558, 5.95,
2081, 14836, 555, 5.96,
2092, 14866, 559, 5.95,
2103, 14866, 553, 5.94,
2115, 14895, 558, 5.96,
2126, 14910, 551, 5.95,
2137, 14925, 556, 5.96,
2149, 14940, 548, 5.96,
2160, 14955, 545, 5.96,
2171, 14940, 549, 5.96,
2183, 14970, 534, 5.97,
2194, 15000, 545, 5.96,
2205, 15000, 536, 5.98,
2216, 14985, 528, 5.97,
2227, 15045, 531, 5.97,
2238, 15060, 536, 5.97,
2250, 15060, 534, 5.97,
2262, 15090, 531, 5.96,
2273, 15060, 535, 5.97,
2284, 15060, 533, 5.97,
2295, 15120, 534, 5.97,
2306, 15120, 529, 5.97,
2318, 15136, 528, 5.97,
2329, 15151, 533, 5.98,
2340, 15166, 534, 5.97,
2352, 15136, 523, 5.97,
2363, 15182, 529, 5.97,
2374, 15197, 519, 5.97,
2385, 15197, 524, 5.97,
2396, 15151, 521, 5.98,
2407, 15228, 518, 5.98,
2419, 15228, 511, 5.98,
2430, 15243, 526, 5.98,
2441, 15212, 529, 5.98,
2453, 15259, 504, 5.98,
2464, 15259, 509, 5.99,
2475, 15274, 515, 5.98,
2487, 15290, 510, 5.98,
2498, 15306, 510, 5.98,
2509, 15290, 513, 5.98,
2521, 15337, 511, 5.98,
2532, 15337, 511, 5.98,
2543, 15306, 509, 5.98,
2554, 15353, 521, 5.98,
2565, 15353, 515, 5.99,
2576, 15353, 513, 5.98,
2588, 15337, 508, 5.99,
2599, 15400, 506, 5.99,
2610, 15384, 506, 5.99,
2622, 15400, 505, 5.99,
2633, 15384, 503, 5.98,
2644, 15416, 500, 6.00,
2656, 15416, 499, 5.99,
2667, 15416, 506, 5.99,
2678, 15432, 490, 6.00,
2689, 15432, 499, 5.99,
2700, 15400, 513, 6.00,
2711, 15447, 500, 5.99,
2722, 15447, 505, 5.99,
2733, 15432, 501, 6.00,
2744, 15463, 498, 5.99,
2756, 15463, 498, 5.99,
2767, 15495, 489, 5.99,
2778, 15463, 493, 5.99,
2790, 15495, 494, 5.99,
2801, 15511, 494, 5.99,
2812, 15463, 496, 5.99,
2824, 15511, 496, 5.99,
2835, 15511, 498, 5.99,
2846, 15527, 493, 6.00,
2857, 15527, 498, 5.99,
2868, 15544, 500, 5.99,
2879, 15544, 495, 5.99,
2891, 15560, 494, 5.99,
2902, 15560, 501, 6.00,
2913, 15511, 493, 5.99,
2925, 15560, 484, 5.99,
2936, 15560, 490, 5.99,
2947, 15576, 485, 6.00,
2958, 15576, 479, 6.00,
2969, 15576, 494, 6.01,
2980, 15576, 488, 6.00,
2992, 15592, 486, 6.00,
3003, 15592, 489, 6.00,
3014, 15608, 476, 6.01,
3025, 15608, 486, 6.00,
3036, 15592, 488, 6.01,
3047, 15608, 471, 6.00,
3059, 15608, 481, 6.00,
3070, 15625, 480, 6.01,
3081, 15625, 484, 6.00,
3093, 15641, 483, 5.99,
3104, 15641, 474, 6.00,
3115, 15625, 489, 6.00,
3127, 15657, 478, 6.00,
3138, 15641, 466, 6.00,
