Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
9649, 16703, 166.65, 2971.25
9666, 16703, 170.25, 2971.25
9683, 16703, 180.70, 2971.25
9701, 16722, 171.75, 2971.25
9718, 16703, 187.10, 2971.25
9736, 16703, 174.25, 2971.25
9754, 16722, 169.70, 2971.25
9772, 16703, 180.80, 2971.25
9789, 16703, 167.85, 2971.25
9806, 16722, 179.10, 2971.25
9824, 16722, 170.95, 2971.25
9841, 16722, 175.20, 2971.25
9859, 16703, 179.85, 2971.25
9876, 16703, 174.60, 2971.25
9893, 16741, 165.05, 2971.25
9911, 16759, 180.25, 2971.25
9928, 16722, 182.55, 2971.25
9946, 16703, 176.35, 2971.25
9963, 16722, 181.25, 2971.25
9980, 16741, 170.35, 2971.25
9998, 16741, 179.70, 2971.25
10015, 16722, 169.00, 2971.25
10033, 16703, 170.25, 2971.25
10050, 16722, 182.65, 2971.25
10067, 16741, 172.30, 2971.25
10086, 16741, 185.70, 2971.25
10103, 16722, 172.55, 2971.25
10121, 16741, 179.90, 2971.25
10138, 16759, 170.70, 2971.25
10156, 16741, 183.40, 2971.25
10173, 16741, 175.90, 2971.25
10190, 16759, 180.05, 2971.25
10208, 16759, 172.80, 2971.25
10225, 16778, 172.85, 2971.25
10243, 16797, 163.60, 2971.25
10260, 16759, 176.80, 2971.25
10278, 16741, 178.80, 2971.25
10296, 16759, 169.00, 2971.25
10313, 16853, 178.60, 2971.25
10331, 16759, 165.10, 2971.25
10348, 16778, 178.20, 2971.25
10365, 16741, 180.80, 2971.25
10383, 16741, 172.40, 2971.25
10400, 16759, 173.65, 2971.25
10418, 16759, 167.30, 2971.25
10435, 16759, 175.10, 2971.25
10452, 16741, 166.85, 2971.25
10471, 16835, 184.00, 2971.25
10488, 16816, 169.55, 2971.25
10506, 16797, 183.05, 2971.25
10523, 16741, 167.00, 2971.25
10541, 16722, 173.00, 2971.25
10558, 16703, 176.70, 2971.25
10575, 16797, 173.00, 2971.25
10593, 16722, 176.50, 2971.25
10610, 16722, 168.80, 2971.25
10628, 16722, 184.40, 2971.25
10645, 16797, 166.85, 2971.25
10663, 16722, 186.65, 2971.25
10681, 16722, 169.95, 2971.25
10698, 16703, 181.25, 2971.25
10716, 16722, 167.20, 2971.25
10733, 16741, 182.05, 2971.25
10750, 16759, 182.05, 2971.25
10768, 16741, 166.50, 2971.25
10785, 16722, 185.35, 2971.25
10803, 16759, 180.80, 2971.25
10820, 16741, 185.00, 2971.25
10838, 16741, 173.85, 2971.25
10856, 16759, 183.65, 2971.25
10873, 16759, 172.90, 2971.25
10891, 16741, 172.85, 2971.25
10908, 16759, 167.05, 2971.25
10926, 16759, 176.05, 2971.25
10943, 16741, 187.65, 2971.25
10960, 16778, 176.85, 2971.25
10978, 16759, 181.20, 2971.25
10995, 16759, 164.90, 2971.25
11013, 16722, 173.50, 2971.25
11030, 16741, 178.10, 2971.25
11047, 16759, 172.70, 2971.25
11066, 16741, 180.50, 2971.25
11083, 16816, 170.90, 2971.25
11101, 16741, 181.85, 2971.25
11118, 16759, 178.30, 2971.25
11136, 16703, 178.00, 2971.25
11153, 16741, 155.95, 2971.25
11170, 16741, 177.05, 2971.25
11188, 16741, 177.75, 2971.25
11205, 16703, 161.30, 2971.25
11223, 16722, 175.65, 2971.25
