Fresh Duracell AA MOSFET
time (ms), RPM, Current (mA)
8383, 0, 3423.75,
8394, 0, 3421.25,
8406, 0, 3418.75,
8417, 0, 3418.75,
8428, 0, 3417.50,
8439, 0, 3416.25,
8450, 0, 3413.75,
8461, 0, 3412.50,
8472, 0, 3410.00,
8483, 0, 3408.75,
8494, 0, 3403.75,
8505, 0, 3402.50,
8516, 0, 3401.25,
8527, 0, 3400.00,
8538, 0, 3396.25,
8549, 0, 3397.50,
8560, 0, 3393.75,
8571, 0, 3392.50,
8582, 0, 3392.50,
8593, 0, 3390.00,
8604, 0, 3387.50,
8615, 0, 3385.00,
8626, 0, 3385.00,
8637, 0, 3382.50,
8648, 0, 3380.00,
8659, 0, 3377.50,
8670, 0, 3377.50,
8681, 0, 3373.75,
8692, 0, 3371.25,
8704, 0, 3368.75,
8715, 0, 3365.00,
8726, 0, 3363.75,
8737, 0, 3365.00,
8748, 0, 3362.50,
8759, 0, 3363.75,
8770, 0, 3360.00,
8781, 0, 3360.00,
8792, 0, 3360.00,
8803, 0, 3358.75,
8814, 0, 3357.50,
8825, 0, 3355.00,
8836, 0, 3353.75,
8847, 0, 3353.75,
8858, 0, 3350.00,
8869, 0, 3350.00,
8880, 0, 3350.00,
8891, 0, 3347.50,
8902, 0, 3345.00,
8913, 0, 3342.50,
8924, 0, 3342.50,
8935, 0, 3340.00,
8946, 0, 3337.50,
8957, 0, 3337.50,
8968, 0, 3337.50,
8979, 0, 3336.25,
8990, 0, 3336.25,
9001, 0, 3332.50,
9012, 0, 3330.00,
9023, 0, 3330.00,
9034, 0, 3327.50,
9046, 0, 3327.50,
9057, 0, 3326.25,
9068, 0, 3323.75,
9079, 0, 3320.00,
9090, 0, 3320.00,
9101, 0, 3320.00,
9112, 0, 3317.50,
9123, 0, 3316.25,
9134, 0, 3313.75,
9145, 0, 3313.75,
9156, 0, 3311.25,
9167, 0, 3308.75,
9178, 0, 3306.25,
9189, 0, 3301.25,
9200, 0, 3301.25,
9211, 0, 3301.25,
9222, 0, 3298.75,
9233, 0, 3298.75,
9244, 0, 3300.00,
9255, 0, 3298.75,
9266, 0, 3298.75,
9277, 0, 3296.25,
9288, 0, 3292.50,
9299, 0, 3290.00,
9310, 0, 3290.00,
9321, 0, 3291.25,
9332, 0, 3290.00,
9344, 0, 3290.00,
9355, 0, 3287.50,
9366, 0, 3287.50,
9377, 0, 3286.25,
9388, 0, 3285.00,
9399, 0, 3283.75,
9410, 0, 3282.50,
9421, 0, 3281.25,
9432, 0, 3281.25,
9443, 0, 3280.00,
9454, 0, 3280.00,
9465, 0, 3278.75,
9476, 0, 3278.75,
9487, 0, 3275.00,
9498, 0, 3276.25,
9509, 0, 3275.00,
9520, 0, 3272.50,
9531, 0, 3273.75,
9542, 0, 3270.00,
9553, 0, 3270.00,
9564, 0, 3267.50,
9575, 0, 3267.50,
9586, 0, 3266.25,
9597, 0, 3266.25,
9608, 0, 3265.00,
9619, 0, 3266.25,
9630, 0, 3262.50,
9641, 0, 3263.75,
9652, 0, 3262.50,
9663, 0, 3262.50,
9674, 0, 3260.00,
9686, 0, 3260.00,
9697, 0, 3260.00,
9708, 0, 3257.50,
9719, 0, 3257.50,
9730, 0, 3256.25,
9741, 0, 3256.25,
9752, 0, 3255.00,
9763, 0, 3253.75,
9774, 0, 3253.75,
9785, 0, 3251.25,
9796, 0, 3251.25,
