time (ms), rpm, mA, mA max
shot, time (s), fps, rpm
7293, 18796, 0.00, 6285.00,
7304, 18703, 0.00, 6285.00,
7315, 18633, 0.00, 6285.00,
7326, 18518, 0.00, 6285.00,
7337, 18450, 0.00, 6285.00,
7348, 18404, 0.00, 6285.00,
7359, 18270, 0.00, 6285.00,
7370, 18226, 0.00, 6285.00,
7382, 18159, 0.00, 6285.00,
7393, 18072, 0.00, 6285.00,
7404, 18007, 0.00, 6285.00,
7415, 17899, 0.00, 6285.00,
7426, 17857, 0.00, 6285.00,
7437, 17772, 0.00, 6285.00,
7448, 17688, 0.00, 6285.00,
7459, 17605, 0.00, 6285.00,
7470, 17564, 0.00, 6285.00,
7481, 17462, 0.00, 6285.00,
7492, 17401, 0.00, 6285.00,
7503, 17321, 0.00, 6285.00,
7514, 17261, 0.00, 6285.00,
7525, 17162, 0.00, 6285.00,
7536, 17103, 0.00, 6285.00,
7547, 17045, 0.00, 6285.00,
7558, 16891, 0.00, 6285.00,
7569, 16910, 0.00, 6285.00,
7580, 16853, 0.00, 6285.00,
7591, 16741, 0.00, 6285.00,
7602, 16703, 0.00, 6285.00,
7613, 16629, 0.00, 6285.00,
7624, 16592, 0.00, 6285.00,
7635, 16501, 0.00, 6285.00,
7646, 16411, 0.00, 6285.00,
7657, 16375, 0.00, 6285.00,
7668, 16286, 0.00, 6285.00,
7680, 16233, 0.00, 6285.00,
7691, 16146, 0.00, 6285.00,
7702, 16077, 0.00, 6285.00,
7713, 15991, 0.00, 6285.00,
7724, 15940, 0.00, 6285.00,
7735, 15906, 0.00, 6285.00,
7746, 15822, 0.00, 6285.00,
7757, 15723, 0.00, 6285.00,
7768, 15690, 0.00, 6285.00,
7779, 15625, 0.00, 6285.00,
7790, 15560, 0.00, 6285.00,
7801, 15511, 0.00, 6285.00,
7812, 15416, 0.00, 6285.00,
7823, 15384, 0.00, 6285.00,
7834, 15290, 0.00, 6285.00,
7845, 15243, 0.00, 6285.00,
7856, 15212, 0.00, 6285.00,
7867, 15151, 0.00, 6285.00,
7878, 15060, 0.00, 6285.00,
7889, 15000, 0.00, 6285.00,
7900, 14925, 0.00, 6285.00,
7911, 14895, 0.00, 6285.00,
7922, 14836, 0.00, 6285.00,
7933, 14763, 0.00, 6285.00,
7944, 14720, 0.00, 6285.00,
7955, 14677, 0.00, 6285.00,
7966, 14591, 0.00, 6285.00,
7977, 14534, 0.00, 6285.00,
7988, 14478, 0.00, 6285.00,
7999, 14395, 0.00, 6285.00,
8010, 14340, 0.00, 6285.00,
8022, 14258, 0.00, 6285.00,
8033, 14191, 0.00, 6285.00,
8044, 14150, 0.00, 6285.00,
8055, 14071, 0.00, 6285.00,
8066, 14005, 0.00, 6285.00,
8077, 14005, 0.00, 6285.00,
8088, 13901, 0.00, 6285.00,
8099, 13901, 0.00, 6285.00,
8110, 13837, 0.00, 6285.00,
8121, 13774, 0.00, 6285.00,
8132, 13711, 0.00, 6285.00,
8143, 13648, 0.00, 6285.00,
8154, 13623, 0.00, 6285.00,
8165, 13562, 0.00, 6285.00,
8176, 13501, 0.00, 6285.00,
8187, 13464, 0.00, 6285.00,
8198, 13380, 0.00, 6285.00,
8209, 13286, 0.00, 6285.00,
8220, 13239, 0.00, 6285.00,
8231, 13227, 0.00, 6285.00,
8242, 13157, 0.00, 6285.00,
8253, 13123, 0.00, 6285.00,
8264, 13089, 0.00, 6285.00,
8275, 13009, 0.00, 6285.00,
8286, 12953, 0.00, 6285.00,
8297, 12897, 0.00, 6285.00,
8308, 12842, 0.00, 6285.00,
8320, 12765, 0.00, 6285.00,
8331, 12733, 0.00, 6285.00,
8342, 12690, 0.00, 6285.00,
8353, 12605, 0.00, 6285.00,
8364, 12583, 0.00, 6285.00,
8375, 12510, 0.00, 6285.00,
8386, 12479, 0.00, 6285.00,
8397, 12417, 0.00, 6285.00,
8408, 12355, 0.00, 6285.00,
8419, 12325, 0.00, 6285.00,
8430, 12274, 0.00, 6285.00,
8441, 12214, 0.00, 6285.00,
8452, 12175, 0.00, 6285.00,
8463, 12126, 0.00, 6285.00,
8474, 12028, 0.00, 6285.00,
8485, 12009, 0.00, 6285.00,
8496, 11961, 0.00, 6285.00,
8507, 11895, 0.00, 6285.00,
8518, 11867, 0.00, 6285.00,
8529, 11783, 0.00, 6285.00,
8540, 11783, 0.00, 6285.00,
8551, 11718, 0.00, 6285.00,
8562, 11645, 0.00, 6285.00,
8573, 11609, 0.00, 6285.00,
8584, 11556, 0.00, 6285.00,
8595, 11520, 1.25, 6285.00,
8606, 11476, 0.00, 6285.00,
8617, 11372, 0.00, 6285.00,
8628, 11363, 0.00, 6285.00,
8639, 11295, 0.00, 6285.00,
8650, 11269, 0.00, 6285.00,
8662, 11202, 0.00, 6285.00,
8673, 11177, 0.00, 6285.00,
8684, 11119, 0.00, 6285.00,
8695, 11078, 0.00, 6285.00,
8706, 11029, 0.00, 6285.00,
8717, 10972, 0.00, 6285.00,
8728, 10940, 0.00, 6285.00,
8739, 10869, 0.00, 6285.00,
8750, 10845, 0.00, 6285.00,
8761, 10752, 0.00, 6285.00,
8772, 10744, 0.00, 6285.00,
8783, 10691, 0.00, 6285.00,
8794, 10653, 0.00, 6285.00,
8805, 10585, 0.00, 6285.00,
8816, 10563, 0.00, 6285.00,
8827, 10504, 0.00, 6285.00,
8838, 10489, 0.00, 6285.00,
8849, 10438, 0.00, 6285.00,
8860, 10387, 0.00, 6285.00,
8871, 10344, 0.00, 6285.00,
8882, 10288, 0.00, 6285.00,
8893, 10245, 0.00, 6285.00,
8904, 10197, 0.00, 6285.00,
8915, 10155, 0.00, 6285.00,
8926, 10087, 0.00, 6285.00,
8937, 10080, 0.00, 6285.00,
8948, 9993, 0.00, 6285.00,
8960, 9980, 0.00, 6285.00,
8971, 9933, 0.00, 6285.00,
8982, 9881, 0.00, 6285.00,
8993, 9836, 0.00, 6285.00,
9004, 9784, 0.00, 6285.00,
9015, 9759, 0.00, 6285.00,
9026, 9702, 0.00, 6285.00,
9037, 9658, 0.00, 6285.00,
9048, 9646, 0.00, 6285.00,
9059, 9566, 0.00, 6285.00,
9070, 9535, 0.00, 6285.00,
9081, 9463, 0.00, 6285.00,
9092, 9463, 0.00, 6285.00,
9103, 9410, 0.00, 6285.00,
9114, 9369, 0.00, 6285.00,
9125, 9287, 0.00, 6285.00,
9136, 9322, 0.00, 6285.00,
9147, 9213, 0.00, 6285.00,
9158, 9185, 0.00, 6285.00,
9169, 9163, 0.00, 6285.00,
9180, 9118, 0.00, 6285.00,
9191, 9063, 0.00, 6285.00,
9202, 9047, 0.00, 6285.00,
9213, 8987, 0.00, 6285.00,
9224, 8928, 0.00, 6285.00,
9235, 8907, 0.00, 6285.00,
9246, 8860, 0.00, 6285.00,
9257, 8802, 0.00, 6285.00,
9268, 8782, 0.00, 6285.00,
9279, 8731, 0.00, 6285.00,
9290, 8710, 0.00, 6285.00,
9302, 8650, 0.00, 6285.00,
9313, 8586, 0.00, 6285.00,
9324, 8571, 0.00, 6285.00,
9335, 8493, 0.00, 6285.00,
9346, 8508, 0.00, 6285.00,
9357, 8436, 0.00, 6285.00,
9368, 8422, 0.00, 6285.00,
9379, 8365, 0.00, 6285.00,
9390, 8342, 0.00, 6285.00,
9401, 8282, 0.00, 6285.00,
9412, 8232, 0.00, 6285.00,
9423, 8210, 0.00, 6285.00,
9434, 8192, 0.00, 6285.00,
9445, 8125, 0.00, 6285.00,
9456, 8064, 0.00, 6285.00,
9467, 8051, 0.00, 6285.00,
9478, 8017, 0.00, 6285.00,
9489, 7966, 0.00, 6285.00,
9500, 7961, 0.00, 6285.00,
9511, 7886, 0.00, 6285.00,
9522, 7857, 0.00, 6285.00,
9533, 7820, 0.00, 6285.00,
9544, 7776, 0.00, 6285.00,
9555, 7720, 0.00, 6285.00,
9566, 7696, 0.00, 6285.00,
9577, 7696, 0.00, 6285.00,
9588, 7598, 0.00, 6285.00,
9600, 7587, 0.00, 6285.00,
9611, 7533, 0.00, 6285.00,
9622, 7500, 0.00, 6285.00,
9633, 7500, 0.00, 6285.00,
9644, 7389, 0.00, 6285.00,
9655, 7392, 0.00, 6285.00,
9666, 7367, 0.00, 6285.00,
9677, 7306, 0.00, 6285.00,
9688, 7278, 0.00, 6285.00,
9699, 7256, 0.00, 6285.00,
9710, 7194, 0.00, 6285.00,
9721, 7166, 0.00, 6285.00,
9732, 7136, 0.00, 6285.00,
9743, 7078, 0.00, 6285.00,
9754, 7052, 0.00, 6285.00,
9765, 7025, 0.00, 6285.00,
9776, 7006, 0.00, 6285.00,
9787, 6934, 0.00, 6285.00,
9798, 6909, 0.00, 6285.00,
9809, 6880, 0.00, 6285.00,
9820, 6811, 0.00, 6285.00,
9831, 6793, 0.00, 6285.00,
9842, 6762, 0.00, 6285.00,
9853, 6729, 0.00, 6285.00,
9864, 6726, 0.00, 6285.00,
9875, 6648, 0.00, 6285.00,
9886, 6613, 0.00, 6285.00,
9897, 6605, 0.00, 6285.00,
9908, 6544, 0.00, 6285.00,
9919, 6482, 0.00, 6285.00,
9930, 6468, 0.00, 6285.00,
9942, 6435, 0.00, 6285.00,
9953, 6407, 0.00, 6285.00,
9964, 6382, 0.00, 6285.00,
9975, 6337, 0.00, 6285.00,
9986, 6273, 0.00, 6285.00,
9997, 6265, 0.00, 6285.00,
10008, 6224, 0.00, 6285.00,
10019, 6193, 0.00, 6285.00,
10030, 6170, 0.00, 6285.00,
10041, 6129, 0.00, 6285.00,
