Found INA260 chip,,,
time (ms),time (s), mA, mA max
1821,1.465,510,4006.25
1825,1.469,417.5,4006.25
1830,1.474,392.5,4006.25
1835,1.479,346.25,4006.25
1840,1.484,343.75,4006.25
1844,1.488,382.5,4006.25
1848,1.492,397.5,4006.25
1853,1.497,325,4006.25
1857,1.501,320,4006.25
1862,1.506,372.5,4006.25
1866,1.51,396.25,4006.25
1871,1.515,455,4006.25
1875,1.519,431.25,4006.25
1881,1.525,418.75,4006.25
1885,1.529,430,4006.25
1890,1.534,463.75,4006.25
1894,1.538,508.75,4006.25
1899,1.543,488.75,4006.25
1903,1.547,408.75,4006.25
1908,1.552,408.75,4006.25
1912,1.556,308.75,4006.25
1917,1.561,352.5,4006.25
1922,1.566,306.25,4006.25
1927,1.571,438.75,4006.25
1931,1.575,395,4006.25
1936,1.58,327.5,4006.25
1940,1.584,378.75,4006.25
1945,1.589,401.25,4006.25
1949,1.593,436.25,4006.25
1954,1.598,440,4006.25
1958,1.602,430,4006.25
1964,1.608,392.5,4006.25
1968,1.612,422.5,4006.25
1973,1.617,403.75,4006.25
1977,1.621,392.5,4006.25
1981,1.625,446.25,4006.25
1986,1.63,437.5,4006.25
1990,1.634,475,4006.25
1995,1.639,407.5,4006.25
1999,1.643,401.25,4006.25
2004,1.648,360,4006.25
2009,1.653,521.25,4006.25
2014,1.658,430,4006.25
2018,1.662,412.5,4006.25
2023,1.667,403.75,4006.25
2027,1.671,371.25,4006.25
2032,1.676,321.25,4006.25
2036,1.68,320,4006.25
2041,1.685,392.5,4006.25
2045,1.689,360,4006.25
2051,1.695,280,4006.25
2055,1.699,346.25,4006.25
2060,1.704,401.25,4006.25
2064,1.708,452.5,4006.25
2069,1.713,323.75,4006.25
2073,1.717,405,4006.25
2078,1.722,380,4006.25
2082,1.726,442.5,4006.25
2087,1.731,377.5,4006.25
2092,1.736,381.25,4006.25
2097,1.741,385,4006.25
2101,1.745,425,4006.25
2105,1.749,436.25,4006.25
2110,1.754,461.25,4006.25
2114,1.758,437.5,4006.25
2119,1.763,378.75,4006.25
2123,1.767,388.75,4006.25
2128,1.772,447.5,4006.25
2132,1.776,428.75,4006.25
2138,1.782,345,4006.25
2142,1.786,375,4006.25
2147,1.791,292.5,4006.25
2151,1.795,291.25,4006.25
2156,1.8,336.25,4006.25
2160,1.804,431.25,4006.25
2165,1.809,333.75,4006.25
2169,1.813,273.75,4006.25
2174,1.818,398.75,4006.25
