time (ms),time(s), rpm, mA, mA max,,,,
8805,5.466,15274,0,3455,,,,
8816,5.477,15105,0,3455,,,,
8827,5.488,15166,0,3455,,,,
8838,5.499,15105,0,3455,,,,
8849,5.51,15045,0,3455,,,,
8860,5.521,15000,0,3455,,,,
8871,5.532,14910,0,3455,,,,
8882,5.543,14880,0,3455,,,,
8893,5.554,14792,0,3455,,,,
8904,5.565,14749,0,3455,,,,
8915,5.576,14691,0,3455,,,,
8926,5.587,14605,1.25,3455,,,,
8937,5.598,14563,0,3455,,,,
8948,5.609,14520,0,3455,,,,
8960,5.621,14478,0,3455,,,,
8971,5.632,14423,0,3455,,,,
8982,5.643,14312,0,3455,,,,
8993,5.654,14299,0,3455,,,,
9004,5.665,14258,0,3455,,,,
9015,5.676,14191,0,3455,,,,
9026,5.687,14150,0,3455,,,,
9037,5.698,14097,0,3455,,,,
9048,5.709,14031,0,3455,,,,
9059,5.72,13992,0,3455,,,,
9070,5.731,13953,0,3455,,,,
9081,5.742,13876,0,3455,,,,
9092,5.753,13850,0,3455,,,,
9103,5.764,13786,0,3455,,,,
9114,5.775,13698,0,3455,,,,
9125,5.786,13661,0,3455,,,,
9136,5.797,13611,0,3455,,,,
9147,5.808,13562,0,3455,,,,
9158,5.819,13477,0,3455,,,,
9169,5.83,13477,0,3455,,,,
9180,5.841,13416,0,3455,,,,
9191,5.852,13321,0,3455,,,,
9202,5.863,13297,0,3455,,,,
9213,5.874,13297,0,3455,,,,
9224,5.885,13192,0,3455,,,,
9235,5.896,13100,0,3455,,,,
9246,5.907,13111,0,3455,,,,
9257,5.918,13043,0,3455,,,,
9268,5.929,13009,0,3455,,,,
9279,5.94,12987,0,3455,,,,
9290,5.951,12897,0,3455,,,,
9302,5.963,12864,0,3455,,,,
9313,5.974,12755,0,3455,,,,
9324,5.985,12755,0,3455,,,,
9335,5.996,12679,0,3455,,,,
9346,6.007,12668,0,3455,,,,
9357,6.018,12605,0,3455,,,,
9368,6.029,12531,0,3455,,,,
9379,6.04,12489,0,3455,,,,
9390,6.051,12396,0,3455,,,,
9401,6.062,12355,0,3455,,,,
9412,6.073,12366,0,3455,,,,
9423,6.084,12305,0,3455,,,,
9434,6.095,12264,0,3455,,,,
9445,6.106,12214,0,3455,,,,
9456,6.117,12155,0,3455,,,,
9467,6.128,12048,0,3455,,,,
9478,6.139,12009,0,3455,,,,
