time (ms), rpm, mA, mA max
11502, 12798, 0.00, 4416.25,
11513, 12668, 0.00, 4416.25,
11524, 12679, 0.00, 4416.25,
11535, 12626, 0.00, 4416.25,
11546, 12552, 0.00, 4416.25,
11557, 12510, 0.00, 4416.25,
11568, 12458, 0.00, 4416.25,
11579, 12427, 0.00, 4416.25,
11590, 12386, 0.00, 4416.25,
11601, 12315, 0.00, 4416.25,
11612, 12264, 0.00, 4416.25,
11623, 12224, 0.00, 4416.25,
11634, 12165, 0.00, 4416.25,
11645, 12126, 0.00, 4416.25,
11656, 12048, 0.00, 4416.25,
11667, 12009, 0.00, 4416.25,
11678, 11933, 0.00, 4416.25,
11689, 11885, 0.00, 4416.25,
11700, 11885, 0.00, 4416.25,
11711, 11820, 0.00, 4416.25,
11722, 11764, 0.00, 4416.25,
11734, 11700, 0.00, 4416.25,
11745, 11655, 0.00, 4416.25,
11756, 11609, 0.00, 4416.25,
11767, 11556, 0.00, 4416.25,
11778, 11511, 0.00, 4416.25,
11789, 11441, 0.00, 4416.25,
11800, 11424, 0.00, 4416.25,
11811, 11406, 0.00, 4416.25,
11822, 11355, 0.00, 4416.25,
11833, 11286, 0.00, 4416.25,
11844, 11219, 0.00, 4416.25,
11855, 11169, 0.00, 4416.25,
11866, 11111, 0.00, 4416.25,
11877, 11061, 0.00, 4416.25,
11888, 10997, 0.00, 4416.25,
11899, 10980, 0.00, 4416.25,
11910, 10932, 0.00, 4416.25,
11921, 10901, 0.00, 4416.25,
11932, 10799, 0.00, 4416.25,
11943, 10791, 0.00, 4416.25,
11954, 10744, 0.00, 4416.25,
11965, 10699, 0.00, 4416.25,
11976, 10668, 0.00, 4416.25,
11987, 10623, 0.00, 4416.25,
11998, 10578, 0.00, 4416.25,
12009, 10548, 0.00, 4416.25,
12020, 10482, 0.00, 4416.25,
12032, 10438, 0.00, 4416.25,
12043, 10387, 0.00, 4416.25,
12054, 10337, 0.00, 4416.25,
12065, 10302, 0.00, 4416.25,
12076, 10259, 0.00, 4416.25,
12087, 10204, 0.00, 4416.25,
12098, 10169, 0.00, 4416.25,
12109, 10094, 0.00, 4416.25,
12120, 10080, 0.00, 4416.25,
12131, 10026, 0.00, 4416.25,
12142, 9966, 0.00, 4416.25,
12153, 9920, 0.00, 4416.25,
12164, 9887, 0.00, 4416.25,
12175, 9887, 0.00, 4416.25,
12186, 9803, 0.00, 4416.25,
12197, 9759, 0.00, 4416.25,
12208, 9715, 0.00, 4416.25,
12219, 9664, 0.00, 4416.25,
12230, 9652, 0.00, 4416.25,
12241, 9596, 0.00, 4416.25,
12252, 9535, 0.00, 4416.25,
12263, 9493, 0.00, 4416.25,
12274, 9475, 0.00, 4416.25,
12285, 9428, 0.00, 4416.25,
12296, 9345, 0.00, 4416.25,
12307, 9310, 0.00, 4416.25,
12318, 9299, 0.00, 4416.25,
